#10	CVCL_YD65
1116-NS-19-9	CVCL_G218
1122 IPSC	CVCL_RV22
1122IPSC	CVCL_RV22
1123	CVCL_S406
1123-MEL	CVCL_S406
113-6	CVCL_VE42
113-7	CVCL_VE43
113-8	CVCL_VE44
11366532	CVCL_JD48
11378859	CVCL_JD20
114-1	CVCL_VE45
114-2	CVCL_VE46
1143	CVCL_8031
1143 MEL	CVCL_8031
1143-MEL	CVCL_8031
1156Q	CVCL_2262
1156QE	CVCL_2262
11599	CVCL_UL90
115T	CVCL_S690
116BR	CVCL_S720
11713	CVCL_VE12
1174MEL	CVCL_GR79
118 MG	CVCL_0633
118 MG-EH	CVCL_T447
1180MEL	CVCL_GR80
1182	CVCL_8032
1182 MEL	CVCL_8032
1182-4	CVCL_Z708
1182-4D	CVCL_Z708
1182-MEL	CVCL_8032
118MG	CVCL_0633
118MG-1181N1	CVCL_D317
1195	CVCL_8033
1195 MEL	CVCL_8033
1195-MEL	CVCL_8033
11962305	CVCL_JC37
1199	CVCL_8034
1199 MEL	CVCL_8034
1199-MEL	CVCL_8034
11AD	CVCL_A634
11B	CVCL_7716
11B11	CVCL_KR35
11D10B6	CVCL_U852
11D10F7	CVCL_U853
11D12	CVCL_3341
11D9G5	CVCL_U851
11E6	CVCL_U648
11F10	CVCL_N307
11G8.CL 2-1.8	CVCL_F782
12-120-94	CVCL_YA92
12-Z	CVCL_0Q73
12.12	CVCL_J992
12.2	CVCL_F810
1205 LU	CVCL_5239
1205-LU	CVCL_5239
120E	CVCL_U057
120MG	CVCL_T446
120T	CVCL_JL64
12106291	CVCL_JD53
12162345	CVCL_JD52
1228-GSC	CVCL_IP60
123	CVCL_HE67
1241-MEL	CVCL_C616
1255-O	CVCL_C526
1255/B7	CVCL_U954
1259MEL	CVCL_GR81
127-42C11.SCRF35.4	CVCL_J561
127.5-9	CVCL_G095
1273	CVCL_N588
1273-99	CVCL_N588
127399	CVCL_N588
1278	CVCL_8035
1278 MEL	CVCL_8035
1278-MEL	CVCL_8035
1280	CVCL_8036
1280 MEL	CVCL_8036
1280-MEL	CVCL_8036
1286	CVCL_8037
1286 MEL	CVCL_8037
1286-MEL	CVCL_8037
1287	CVCL_8038
1287 MEL	CVCL_8038
1287-MEL	CVCL_8038
128LP1	CVCL_UM30
1290	CVCL_7943
1290 MEL	CVCL_7943
1290-MEL	CVCL_7943
1290-MEL P14	CVCL_7943
1290P14	CVCL_7943
129S6	CVCL_C319
129X1/SVJ-PRX-129X1 #1	CVCL_2H79
12D10	CVCL_K160
12G8B11	CVCL_U856
12R5-1	CVCL_R746
12R5-3	CVCL_R747
12R5-5	CVCL_R748
12R8-1	CVCL_R749
12R8-3	CVCL_R750
12Z	CVCL_0Q73
12_3052B1	CVCL_YT27
13-5'9'6'2	CVCL_J044
13-5-1	CVCL_AZ68
13.90	CVCL_J045
130 T	CVCL_1649
130-T	CVCL_1649
1300	CVCL_8039
