n1	n2	evidence	score
UMLS:C0002452	DOID:0110064	curated	1
UMLS:C0002452	DOID:0110065	curated	1
UMLS:C0002452	DOID:0110066	curated	1
UMLS:C0002452	DOID:2187	curated	1
UMLS:C0002452	DOID:4154	curated	1
UMLS:C0002452	DOID:701	curated	1
UMLS:C0002453	DOID:13938	curated	1
UMLS:C0002514	DOID:9252	curated	1
UMLS:C0002622	DOID:10914	curated	1
UMLS:C0002622	DOID:11037	curated	1
UMLS:C0002624	DOID:4543	curated	1
UMLS:C0002625	DOID:10914	curated	1
UMLS:C0002726	DOID:9120	curated	1
UMLS:C0002736	DOID:332	curated	1
UMLS:C0002768	DOID:0070145	curated	1
UMLS:C0002831	DOID:12841	curated	1
UMLS:C0002871	DOID:2355	curated	1
UMLS:C0002874	DOID:12449	curated	1
UMLS:C0002875	DOID:12241	curated	1
UMLS:C0002876	DOID:1338	curated	1
UMLS:C0002878	DOID:583	curated	1
UMLS:C0002880	DOID:1098	curated	1
UMLS:C0002880	DOID:718	curated	1
UMLS:C0002881	DOID:589	curated	1
UMLS:C0002882	DOID:2861	curated	1
UMLS:C0002884	DOID:11759	curated	1
UMLS:C0002886	DOID:2361	curated	1
UMLS:C0002888	DOID:13382	curated	1
UMLS:C0002890	DOID:2354	curated	1
UMLS:C0002891	DOID:1098	curated	1
UMLS:C0002891	DOID:11244	curated	1
UMLS:C0002892	DOID:13381	curated	1
UMLS:C0002895	DOID:10923	curated	1
UMLS:C0002896	DOID:8955	curated	1
UMLS:C0002902	DOID:0060668	curated	1
UMLS:C0002940	DOID:178	curated	1
UMLS:C0002963	DOID:0111151	curated	1
UMLS:C0002965	DOID:8805	curated	1
UMLS:C0002982	DOID:13401	curated	1
UMLS:C0002985	DOID:479	curated	1
UMLS:C0002986	DOID:14499	curated	1
UMLS:C0002989	DOID:14308	curated	1
UMLS:C0002989	DOID:7365	curated	1
UMLS:C0002991	DOID:4231	curated	1
UMLS:C0002991	DOID:4418	curated	1
UMLS:C0002991	DOID:495	curated	1
UMLS:C0002994	DOID:14735	curated	1
UMLS:C0002994	DOID:1558	curated	1
UMLS:C0003028	DOID:11155	curated	1
UMLS:C0003028	DOID:11156	curated	1
UMLS:C0003076	DOID:12271	curated	1
UMLS:C0003078	DOID:0050304	curated	1
UMLS:C0003081	DOID:12273	curated	1
UMLS:C0003089	DOID:417	curated	1
UMLS:C0003090	DOID:227	curated	1
UMLS:C0003113	DOID:4541	curated	1
UMLS:C0003125	DOID:8689	curated	1
UMLS:C0003128	DOID:3781	curated	1
UMLS:C0003132	DOID:2316	curated	1
UMLS:C0003164	DOID:10324	curated	1
UMLS:C0003164	DOID:10327	curated	1
UMLS:C0003165	DOID:10324	curated	1
UMLS:C0003165	DOID:10327	curated	1
UMLS:C0003175	DOID:7427	curated	1
UMLS:C0003177	DOID:7426	curated	1
UMLS:C0003431	DOID:10939	curated	1
UMLS:C0003460	DOID:2983	curated	1
UMLS:C0003463	DOID:4551	curated	1
UMLS:C0003463	DOID:4908	curated	1
UMLS:C0003466	DOID:10488	curated	1
UMLS:C0003467	DOID:14320	curated	1
UMLS:C0003467	DOID:2030	curated	1
UMLS:C0003469	DOID:2030	curated	1
UMLS:C0003469	DOID:591	curated	1
UMLS:C0003486	DOID:3627	curated	1
UMLS:C0003493	DOID:520	curated	1
UMLS:C0003496	DOID:3627	curated	1
UMLS:C0003499	DOID:1929	curated	1
UMLS:C0003504	DOID:57	curated	1
UMLS:C0003507	DOID:0080334	curated	1
UMLS:C0003507	DOID:1712	curated	1
UMLS:C0003509	DOID:519	curated	1
UMLS:C0003510	DOID:2508	curated	1
UMLS:C0003537	DOID:0060046	curated	1
UMLS:C0003614	DOID:11239	curated	1
UMLS:C0003614	DOID:11240	curated	1
UMLS:C0003615	DOID:8337	curated	1
UMLS:C0003635	DOID:0060135	curated	1
UMLS:C0003635	DOID:4090	curated	1
UMLS:C0003708	DOID:12156	curated	1
UMLS:C0003708	DOID:9471	curated	1
UMLS:C0003723	DOID:934	curated	1
UMLS:C0003742	DOID:11342	curated	1
UMLS:C0003838	DOID:341	curated	1
UMLS:C0003850	DOID:1936	curated	1
UMLS:C0003850	DOID:2348	curated	1
UMLS:C0003850	DOID:2349	curated	1
UMLS:C0003850	DOID:5162	curated	1
UMLS:C0003851	DOID:5160	curated	1
UMLS:C0003860	DOID:519	curated	1
UMLS:C0003864	DOID:381	curated	1
UMLS:C0003864	DOID:848	curated	1
UMLS:C0003868	DOID:13189	curated	1
UMLS:C0003869	DOID:381	curated	1
UMLS:C0003869	DOID:813	curated	1
UMLS:C0003872	DOID:9008	curated	1
UMLS:C0003873	DOID:7148	curated	1
UMLS:C0003892	DOID:14286	curated	1
UMLS:C0003907	DOID:1556	curated	1
